Wavenumber	Reflectance
1427.43	0.03656
1425.50	0.03547
1423.57	0.03434
1421.64	0.03359
1419.71	0.03327
1417.78	0.03268
1415.85	0.03220
1413.92	0.03209
1411.99	0.03200
1410.07	0.03194
1408.14	0.03212
1406.21	0.03220
1404.28	0.03192
1402.35	0.03144
1400.42	0.03094
1398.49	0.03051
1396.56	0.03012
1394.64	0.02963
1392.71	0.02937
1390.78	0.02898
1388.85	0.02852
1386.92	0.02818
1384.99	0.02797
1383.06	0.02781
1381.13	0.02757
1379.20	0.02739
1377.27	0.02740
1375.34	0.02735
1373.42	0.02719
1371.49	0.02688
1369.56	0.02663
1367.63	0.02621
1365.70	0.02554
1363.77	0.02494
1361.84	0.02460
1359.91	0.02418
1357.98	0.02365
1356.06	0.02311
1354.13	0.02271
1352.20	0.02231
1350.27	0.02212
1348.34	0.02170
1346.41	0.02118
1344.48	0.02080
1342.55	0.02050
1340.62	0.02010
1338.69	0.01947
1336.77	0.01891
1334.84	0.01883
1332.91	0.01844
1330.98	0.01827
1329.05	0.01793
1327.12	0.01765
1325.19	0.01754
1323.26	0.01731
1321.33	0.01685
